task,setting,model,ratio,neg_per_pos,n_pos,n_neg,prevalence,auprc,auprc_over_floor,auroc
task1,transductive_with_bridges,conve,orig,0.09112276261073947,5531,504,0.9164871582435791,0.8741401472005834,0.9537942123224591,0.37502959509603884
task1,transductive_with_bridges,conve,0.5,0.5,1008,504,0.6666666666666666,0.57618242895552,0.86427364343328,0.3732835726883346
task1,transductive_with_bridges,conve,1,1.0,504,504,0.5,0.4104242665888708,0.8208485331777416,0.3697011211892164
task1,transductive_with_bridges,conve,2,2.0,252,504,0.3333333333333333,0.26811917911811395,0.8043575373543419,0.393337427563618
task1,transductive_with_bridges,conve,5,5.0,100,500,0.16666666666666666,0.13820852590465574,0.8292511554279345,0.42108
task1,transductive_with_bridges,conve,10,10.0,50,500,0.09090909090909091,0.07101068333708091,0.78111751670789,0.37988
task1,transductive_with_bridges,distmult,orig,0.09112276261073947,5531,504,0.9164871582435791,0.8018272054993489,0.8748919156008987,0.12679077235667363
task1,transductive_with_bridges,distmult,0.5,0.5,1008,504,0.6666666666666666,0.4781922103297789,0.7172883154946683,0.1344305083144369
task1,transductive_with_bridges,distmult,1,1.0,504,504,0.5,0.32643036500368794,0.6528607300073759,0.1296926177878559
task1,transductive_with_bridges,distmult,2,2.0,252,504,0.3333333333333333,0.20135388334213605,0.6040616500264082,0.11785084404132022
task1,transductive_with_bridges,distmult,5,5.0,100,500,0.16666666666666666,0.09659874399385,0.5795924639631,0.14196000000000003
task1,transductive_with_bridges,distmult,10,10.0,50,500,0.09090909090909091,0.05074941661327251,0.5582435827459976,0.11524
task1,transductive_with_bridges,l3,orig,0.09112276261073947,5531,504,0.9164871582435791,0.8400678390532779,0.9166171413282467,0.20777299951499917
task1,transductive_with_bridges,l3,0.5,0.5,1008,504,0.6666666666666666,0.5168615838284875,0.7752923757427312,0.2217655580750819
task1,transductive_with_bridges,l3,1,1.0,504,504,0.5,0.3525753897844727,0.7051507795689455,0.207890447845805
task1,transductive_with_bridges,l3,2,2.0,252,504,0.3333333333333333,0.21818060865404995,0.6545418259621499,0.2110654446963971
task1,transductive_with_bridges,l3,5,5.0,100,500,0.16666666666666666,0.11187630585414175,0.6712578351248506,0.26304
task1,transductive_with_bridges,l3,10,10.0,50,500,0.09090909090909091,0.054080510362249874,0.5948856139847486,0.17149999999999999
task1,transductive_with_bridges,pairre,orig,0.09112276261073947,5531,504,0.9164871582435791,0.7778288173496919,0.8487067280248402,0.02218197289160948
task1,transductive_with_bridges,pairre,0.5,0.5,1008,504,0.6666666666666666,0.45396204261348966,0.6809430639202345,0.023041855631141337
task1,transductive_with_bridges,pairre,1,1.0,504,504,0.5,0.3091948979932709,0.6183897959865418,0.022900132275132268
task1,transductive_with_bridges,pairre,2,2.0,252,504,0.3333333333333333,0.1907603559589283,0.5722810678767849,0.019494834971025436
task1,transductive_with_bridges,pairre,5,5.0,100,500,0.16666666666666666,0.08978639382704115,0.538718362962247,0.018460000000000008
task1,transductive_with_bridges,pairre,10,10.0,50,500,0.09090909090909091,0.04807566134183394,0.5288322747601734,0.02312
task1,transductive_with_bridges,popularity,orig,0.08819420188613343,5726,505,0.9189536190017654,0.8702729387644518,0.9470259660218824,0.29296504047889943
task1,transductive_with_bridges,popularity,0.5,0.5,1010,505,0.6666666666666666,0.5470081317839968,0.8205121976759951,0.28489265758258997
task1,transductive_with_bridges,popularity,1,1.0,505,505,0.5,0.38581005203545954,0.7716201040709191,0.29986275855308303
task1,transductive_with_bridges,popularity,2,2.0,252,504,0.3333333333333333,0.23549493469982707,0.7064848040994812,0.27578184051398336
task1,transductive_with_bridges,popularity,5,5.0,101,505,0.16666666666666666,0.11491956996005818,0.6895174197603492,0.2925301441035193
task1,transductive_with_bridges,popularity,10,10.0,50,500,0.09090909090909091,0.05472261347239091,0.6019487481963,0.20027999999999999
task1,transductive_with_bridges,ra,orig,0.09112276261073947,5531,504,0.9164871582435791,0.8700662289077774,0.9493490673401621,0.3284461964741299
task1,transductive_with_bridges,ra,0.5,0.5,1008,504,0.6666666666666666,0.565248242971556,0.8478723644573339,0.3315302973041068
task1,transductive_with_bridges,ra,1,1.0,504,504,0.5,0.40415335641619105,0.8083067128323821,0.33083742756361806
task1,transductive_with_bridges,ra,2,2.0,252,504,0.3333333333333333,0.25461683366096455,0.7638505009828936,0.33178618669690096
task1,transductive_with_bridges,ra,5,5.0,100,500,0.16666666666666666,0.13944170349112517,0.836650220946751,0.38267
task1,transductive_with_bridges,ra,10,10.0,50,500,0.09090909090909091,0.06478574408156741,0.7126431848972415,0.27892
task1,transductive_with_bridges,random,orig,0.08819420188613343,5726,505,0.9189536190017654,0.916082981955649,0.9968761894106966,0.48660789935088516
task1,transductive_with_bridges,random,0.5,0.5,1010,505,0.6666666666666666,0.6596785884812643,0.9895178827218964,0.4876090579354966
task1,transductive_with_bridges,random,1,1.0,505,505,0.5,0.483396144395417,0.966792288790834,0.4753337908048231
task1,transductive_with_bridges,random,2,2.0,252,504,0.3333333333333333,0.3158825328110021,0.9476475984330063,0.4677658100277148
task1,transductive_with_bridges,random,5,5.0,101,505,0.16666666666666666,0.16449978427006356,0.9869987056203814,0.5018135476914029
task1,transductive_with_bridges,random,10,10.0,50,500,0.09090909090909091,0.10612017317101465,1.1673219048811612,0.5545999999999999
task1,transductive_with_bridges,rotate,orig,0.09112276261073947,5531,504,0.9164871582435791,0.8717405069745681,0.9511759102497773,0.301410627832161
task1,transductive_with_bridges,rotate,0.5,0.5,1008,504,0.6666666666666666,0.5674526202232073,0.851178930334811,0.31238977072310403
task1,transductive_with_bridges,rotate,1,1.0,504,504,0.5,0.3977698090109238,0.7955396180218476,0.3056264172335601
task1,transductive_with_bridges,rotate,2,2.0,252,504,0.3333333333333333,0.24494681061553583,0.7348404318466075,0.3087600781053162
task1,transductive_with_bridges,rotate,5,5.0,100,500,0.16666666666666666,0.12394389077881739,0.7436633446729044,0.3189
task1,transductive_with_bridges,rotate,10,10.0,50,500,0.09090909090909091,0.0917808793758988,1.0095896731348868,0.29756
task1,transductive_with_bridges,transe,orig,0.09112276261073947,5531,504,0.9164871582435791,0.9709468984612248,1.0594222621973408,0.7511793197360905
task1,transductive_with_bridges,transe,0.5,0.5,1008,504,0.6666666666666666,0.882975146629122,1.3244627199436831,0.776021982867221
task1,transductive_with_bridges,transe,1,1.0,504,504,0.5,0.793484067708915,1.58696813541783,0.7590821050642479
task1,transductive_with_bridges,transe,2,2.0,252,504,0.3333333333333333,0.6712934173174044,2.0138802519522137,0.7574483497102544
task1,transductive_with_bridges,transe,5,5.0,100,500,0.16666666666666666,0.5447549103460959,3.2685294620765757,0.7923
task1,transductive_with_bridges,transe,10,10.0,50,500,0.09090909090909091,0.379341566121719,4.172757227338908,0.70532
task1,cold_microbe,cn,orig,0.034983252698176405,2687,94,0.9661992089176555,0.9629266340228071,0.9966129397906314,0.4823262516925465
task1,cold_microbe,cn,0.5,0.5,188,94,0.6666666666666666,0.6541612541546352,0.9812418812319529,0.49759506564056133
task1,cold_microbe,cn,1,1.0,94,94,0.5,0.48325361310657583,0.9665072262131517,0.47459257582616565
task1,cold_microbe,cn,2,2.0,47,94,0.3333333333333333,0.31853731536347574,0.9556119460904272,0.45925758261656857
task1,cold_microbe,complex,orig,0.034983252698176405,2687,94,0.9661992089176555,0.9579538209580778,0.9914661615498378,0.4945680146331035
task1,cold_microbe,complex,0.5,0.5,188,94,0.6666666666666666,0.6284947382842538,0.9427421074263808,0.4953598913535536
task1,cold_microbe,complex,1,1.0,94,94,0.5,0.4562257337624269,0.9124514675248538,0.4848347668628339
task1,cold_microbe,complex,2,2.0,47,94,0.3333333333333333,0.33032841570435034,0.990985247113051,0.48800362154821186
task1,cold_microbe,conve,orig,0.034983252698176405,2687,94,0.9661992089176555,0.9642292571373363,0.9979611328987467,0.41658418389566787
task1,cold_microbe,conve,0.5,0.5,188,94,0.6666666666666666,0.6801081477105133,1.02016222156577,0.447713897691263
task1,cold_microbe,conve,1,1.0,94,94,0.5,0.5055315525643225,1.011063105128645,0.414440923494794
task1,cold_microbe,conve,2,2.0,47,94,0.3333333333333333,0.39314004796861307,1.1794201439058394,0.4291534631054776
task1,cold_microbe,distmult,orig,0.034983252698176405,2687,94,0.9661992089176555,0.9090885508866947,0.9408914253873829,0.28303335999176493
task1,cold_microbe,distmult,0.5,0.5,188,94,0.6666666666666666,0.5236191538331937,0.7854287307497906,0.28378225441376187
task1,cold_microbe,distmult,1,1.0,94,94,0.5,0.37456366057094587,0.7491273211418917,0.28078315980081486
task1,cold_microbe,distmult,2,2.0,47,94,0.3333333333333333,0.2444459026850676,0.7333377080552028,0.28791308284291534
task1,cold_microbe,l3,orig,0.034983252698176405,2687,94,0.9661992089176555,0.9586236502424361,0.9921594236413155,0.4403986095384397
task1,cold_microbe,l3,0.5,0.5,188,94,0.6666666666666666,0.650063536703275,0.9750953050549125,0.4842971933001359
task1,cold_microbe,l3,1,1.0,94,94,0.5,0.4626754108441338,0.9253508216882677,0.44352648257129923
task1,cold_microbe,l3,2,2.0,47,94,0.3333333333333333,0.32499788677808705,0.9749936603342612,0.46763241285649615
task1,cold_microbe,pairre,orig,0.034983252698176405,2687,94,0.9661992089176555,0.9201205581304457,0.9523093681283101,0.16265074551227737
task1,cold_microbe,pairre,0.5,0.5,188,94,0.6666666666666666,0.5069616699079367,0.760442504861905,0.18990493435943867
task1,cold_microbe,pairre,1,1.0,94,94,0.5,0.33985946050604005,0.6797189210120801,0.16953372566772296
task1,cold_microbe,pairre,2,2.0,47,94,0.3333333333333333,0.22018793456298552,0.6605638036889566,0.20507016749660478
task1,cold_microbe,popularity,orig,0.0329246935201401,2855,94,0.9681247880637505,0.9479067852086871,0.9791163255973444,0.28889592726459734
task1,cold_microbe,popularity,0.5,0.5,188,94,0.6666666666666666,0.5464642379384637,0.8196963569076955,0.2850271616115889
task1,cold_microbe,popularity,1,1.0,94,94,0.5,0.3980167009111429,0.7960334018222858,0.31626301493888637
task1,cold_microbe,popularity,2,2.0,47,94,0.3333333333333333,0.26869167002824823,0.8060750100847447,0.3459710276143051
task1,cold_microbe,ra,orig,0.034983252698176405,2687,94,0.9661992089176555,0.9536617627141686,0.9870239531477867,0.4522127817941388
task1,cold_microbe,ra,0.5,0.5,188,94,0.6666666666666666,0.6159659512381067,0.9239489268571601,0.46517089180624716
task1,cold_microbe,ra,1,1.0,94,94,0.5,0.450943938215727,0.901887876431454,0.4649162516976007
